country_iso3,sector,ggodelta,fd,pdggo
BGR,Electricals,-1021,487.02635998663607,-2.267017104831168
BGR,Vehicles,-990,411.3619786138776,-2.266337623981042
BGR,Manufacturing,-795,394.475386085494,-2.2661205932238677
BGR,Utilities,-2002,966.7473363367999,-2.2643466951817093
BGR,Construction,-805,344.39230424472504,-2.2641374727885815
BGR,Vehicle Trade,-635,322.94674264947,-2.2641097703830666
BGR,Wholesale Trade,-1836,1002.4855723077,-2.264001251021013
BGR,Retail Trade,-1365,666.6381549769,-2.2638485425222874
BGR,Hospitality,-2968,1583.5320341819997,-2.26358793200582
BGR,Inland Transport,-1938,1144.3037489849999,-2.263044508023204
BGR,Water Transport,-7,4.992800925841,-2.2626633429295473
BGR,Air Transport,-165,114.1091882305,-2.2606499222635654
BGR,Transport Services,-258,153.1141184572,-2.258974355752492
BGR,Communications,-2953,1430.5421094339997,-2.258522452428136
BGR,Financial Services,-639,459.921788835374,-2.2581860159643923
BGR,Real Estate,-11041,6604.023058648921,-2.256460666562927
BGR,Business Services,-217,188.09117727100002,-2.256267057131731
BGR,Public Services,-6670,3899.84294586,-2.255398278716021
BGR,Education,-3030,1960.3652390861,-2.254100871554555
BGR,Health,-3476,1831.98957764796,-2.2528274292220303
BGR,Other Services,-3629,1655.4481787000002,-2.252328610448022
BGR,Private Households,0,0.0040945989,-2.2517621415184985
GBR,Agriculture,-112590,66367.750264,-2.25036658283288
GBR,Mining,-2419,2365.963938429,-2.249635899820739
GBR,Food,-177195,86706.59916607001,-2.2488712619641507
GBR,Textiles,-55037,29161.52442118,-2.2484435408680126
GBR,Leather,-9730,4770.85148123617,-2.2477987770895442
GBR,Wood,-6981,3363.04836555,-2.247041062601283
GBR,Paper,-47355,24390.710895,-2.247003410119847
GBR,Fuel,-35021,20873.1916655588,-2.246429185368152
GBR,Chemicals,-47051,23271.91394552,-2.2459656260572864
GBR,Plastics,-16964,8245.344202479999,-2.2434722534237945
GBR,Minerals,-9617,4977.732850065,-2.2431725859047162
GBR,Metals,-18555,9450.385153779998,-2.2431388542283446
GBR,Machinery,-31979,15226.24023268,-2.2428201582318708
GBR,Electricals,-45989,22985.47850377,-2.242574046383386
GBR,Vehicles,-124968,52017.261252571,-2.239586382564853
GBR,Manufacturing,-46649,24021.558655219997,-2.236005410364442
GBR,Utilities,-146121,76052.6343094,-2.2359688228263734
GBR,Construction,-30114,14620.147521780002,-2.2352178538660548
GBR,Vehicle Trade,-87497,49540.944386610005,-2.234714241963508
GBR,Wholesale Trade,-143558,84282.14852890001,-2.2337430885438136
GBR,Retail Trade,-210207,121859.49378399999,-2.2331563654887243
GBR,Hospitality,-254299,148662.552309,-2.2315738441800694
