country_iso3,sector,ggodelta
SVN,Other Services,-3915
SVN,Private Households,-33
FRA,Agriculture,-79812
FRA,Mining,-315
FRA,Food,-286049
FRA,Textiles,-52101
FRA,Leather,-12828
FRA,Wood,-5458
FRA,Paper,-40910
FRA,Fuel,-76556
FRA,Chemicals,-124875
FRA,Plastics,-22267
FRA,Minerals,-8730
FRA,Metals,-16504
FRA,Machinery,-31710
FRA,Electricals,-65843
FRA,Vehicles,-185166
FRA,Manufacturing,-51620
FRA,Utilities,-90419
FRA,Construction,-33951
FRA,Vehicle Trade,-73943
FRA,Wholesale Trade,-182050
FRA,Retail Trade,-127580
FRA,Hospitality,-179770
FRA,Inland Transport,-83749
FRA,Water Transport,-4621
FRA,Air Transport,-13557
FRA,Transport Services,-24694
FRA,Communications,-67615
FRA,Financial Services,-155342
FRA,Real Estate,-389204
FRA,Business Services,-64826
FRA,Public Services,-366101
FRA,Education,-192758
FRA,Health,-400752
FRA,Other Services,-199016
FRA,Private Households,-13836
EST,Agriculture,-674
EST,Mining,-35
EST,Food,-3741
EST,Textiles,-865
EST,Leather,-234
EST,Wood,-86
EST,Paper,-391
EST,Fuel,-541
EST,Chemicals,-964
EST,Plastics,-186
EST,Minerals,-138
EST,Metals,-166
EST,Machinery,-434
EST,Electricals,-689
EST,Vehicles,-688
EST,Manufacturing,-354
EST,Utilities,-960
EST,Construction,-283
EST,Vehicle Trade,-451
EST,Wholesale Trade,-1402
EST,Retail Trade,-950
EST,Hospitality,-1443
EST,Inland Transport,-1255
EST,Water Transport,-84
EST,Air Transport,-31
EST,Transport Services,-209
EST,Communications,-468
EST,Financial Services,-611
EST,Real Estate,-2220
EST,Business Services,-469
EST,Public Services,-3159
EST,Education,-1986
EST,Health,-2018
EST,Other Services,-1940
EST,Private Households,0
SVK,Agriculture,-5646
SVK,Mining,-175
SVK,Food,-10242
SVK,Textiles,-2143
SVK,Leather,-608
SVK,Wood,-546
SVK,Paper,-2112
SVK,Fuel,-2512
SVK,Chemicals,-4546
SVK,Plastics,-1593
SVK,Minerals,-625
SVK,Metals,-1393
SVK,Machinery,-1473
SVK,Electricals,-5703
SVK,Vehicles,-3221
SVK,Manufacturing,-2329
SVK,Utilities,-11538
SVK,Construction,-1665
SVK,Vehicle Trade,-1743
SVK,Wholesale Trade,-6740
SVK,Retail Trade,-5275
SVK,Hospitality,-2283
SVK,Inland Transport,-3295
SVK,Water Transport,-45
SVK,Air Transport,-250
SVK,Transport Services,-2003
SVK,Communications,-2665
SVK,Financial Services,-5358
SVK,Real Estate,-5679
SVK,Business Services,-1938
SVK,Public Services,-12674
SVK,Education,-4740
SVK,Health,-6225
SVK,Other Services,-5149
SVK,Private Households,0
LTU,Agriculture,-3964
LTU,Mining,-120
LTU,Food,-10472
LTU,Textiles,-2094
LTU,Leather,-804
LTU,Wood,-318
LTU,Paper,-493
LTU,Fuel,-7907
LTU,Chemicals,-1865
LTU,Plastics,-529
LTU,Minerals,-462
LTU,Metals,-471
LTU,Machinery,-752
LTU,Electricals,-782
LTU,Vehicles,-1413
LTU,Manufacturing,-779
LTU,Utilities,-1704
LTU,Construction,-435
LTU,Vehicle Trade,-1004
LTU,Wholesale Trade,-2240
LTU,Retail Trade,-1698
LTU,Hospitality,-985
LTU,Inland Transport,-1595
LTU,Water Transport,-40
LTU,Air Transport,-351
LTU,Transport Services,-538
LTU,Communications,-839
LTU,Financial Services,-1028
LTU,Real Estate,-4615
LTU,Business Services,-738
LTU,Public Services,-6400
LTU,Education,-3403
LTU,Health,-3332
LTU,Other Services,-2103
LTU,Private Households,-41
ESP,Agriculture,-41014
ESP,Mining,-281
ESP,Food,-187983
ESP,Textiles,-39967
ESP,Leather,-15816
ESP,Wood,-2486
ESP,Paper,-24193
ESP,Fuel,-37481
ESP,Chemicals,-64581
ESP,Plastics,-6536
ESP,Minerals,-4600
ESP,Metals,-9596
ESP,Machinery,-19962
ESP,Electricals,-27738
ESP,Vehicles,-71885
ESP,Manufacturing,-34018
ESP,Utilities,-42003
ESP,Construction,-36123
ESP,Vehicle Trade,-56404
ESP,Wholesale Trade,-65898
ESP,Retail Trade,-71878
ESP,Hospitality,-299305
ESP,Inland Transport,-35214
ESP,Water Transport,-2027
ESP,Air Transport,-10744
ESP,Transport Services,-33124
ESP,Communications,-40526
ESP,Financial Services,-66414
ESP,Real Estate,-154246
ESP,Business Services,-27367
ESP,Public Services,-186167
ESP,Education,-96675
ESP,Health,-199338
ESP,Other Services,-139447
ESP,Private Households,0
TWN,Agriculture,-14775
TWN,Mining,-3
TWN,Food,-30420
TWN,Textiles,-2900
TWN,Leather,-742
TWN,Wood,-70
TWN,Paper,-3477
TWN,Fuel,-8775
TWN,Chemicals,-9648
TWN,Plastics,-1982
TWN,Minerals,-581
TWN,Metals,-2809
TWN,Machinery,-6715
TWN,Electricals,-10042
TWN,Vehicles,-9703
TWN,Manufacturing,-2045
TWN,Utilities,-6693
TWN,Construction,-432
TWN,Vehicle Trade,-3728
TWN,Wholesale Trade,-19838
TWN,Retail Trade,-27697
TWN,Hospitality,-11771
TWN,Inland Transport,-6061
TWN,Water Transport,-391
TWN,Air Transport,-7229
TWN,Transport Services,-2682
TWN,Communications,-10057
TWN,Financial Services,-29982
TWN,Real Estate,-177
TWN,Business Services,-2646
TWN,Public Services,-64118
TWN,Education,-12655
TWN,Health,-30777
TWN,Other Services,-51183
TWN,Private Households,-3176
CHN,Agriculture,-375472
CHN,Mining,-2570
CHN,Food,-712413
CHN,Textiles,-161005
CHN,Leather,-77388
CHN,Wood,-5830
CHN,Paper,-3278
CHN,Fuel,-9398
CHN,Chemicals,-57044
CHN,Plastics,-20465
CHN,Minerals,-6106
CHN,Metals,-14166
CHN,Machinery,-6367
CHN,Electricals,-119163
CHN,Vehicles,-94526
CHN,Manufacturing,-7299
CHN,Utilities,-51772
CHN,Construction,-37314
CHN,Vehicle Trade,-69
CHN,Wholesale Trade,-197266
CHN,Retail Trade,-41622
CHN,Hospitality,-191538
CHN,Inland Transport,-60201
CHN,Water Transport,-6895
CHN,Air Transport,-3872
CHN,Transport Services,-30674
CHN,Communications,-79333
CHN,Financial Services,-100507
CHN,Real Estate,-152910
CHN,Business Services,-98611
CHN,Public Services,-592093
CHN,Education,-424130
CHN,Health,-480548
CHN,Other Services,-201350
CHN,Private Households,0
AUS,Agriculture,-17634
AUS,Mining,-3105
AUS,Food,-86566
AUS,Textiles,-19950
AUS,Leather,-2102
AUS,Wood,-837
AUS,Paper,-15995
AUS,Fuel,-17720
